Episode,DQN,DDQN,PERDQN,PERDDQN
395,12.0,11.0,10.0,14.0
396,10.0,9.0,10.0,13.0
397,10.0,10.0,13.0,12.0
398,8.0,12.0,12.0,17.0
399,4.0,14.0,13.0,11.0
400,7.0,16.0,5.0,17.0
401,10.0,1.0,12.0,9.0
402,13.0,7.0,11.0,11.0
403,11.0,13.0,14.0,1.0
404,14.0,16.0,10.0,7.0
405,12.0,9.0,14.0,11.0
406,9.0,8.0,7.0,15.0
407,14.0,13.0,12.0,19.0
408,5.0,13.0,13.0,13.0
409,5.0,11.0,11.0,19.0
410,9.0,8.0,3.0,11.0
411,10.0,10.0,10.0,3.0
412,14.0,14.0,12.0,17.0
413,14.0,17.0,21.0,8.0
414,12.0,6.0,8.0,11.0
415,12.0,13.0,14.0,15.0
416,7.0,18.0,10.0,13.0
417,16.0,20.0,16.0,23.0
418,16.0,10.0,11.0,14.0
419,13.0,10.0,13.0,6.0
420,11.0,12.0,7.0,12.0
421,13.0,17.0,15.0,11.0
422,15.0,18.0,10.0,11.0
423,18.0,8.0,13.0,4.0
424,14.0,8.0,15.0,15.0
425,5.0,12.0,11.0,11.0
426,11.0,14.0,11.0,13.0
427,15.0,3.0,4.0,13.0
428,11.0,14.0,9.0,18.0
429,7.0,15.0,6.0,11.0
430,17.0,16.0,11.0,11.0
431,10.0,16.0,12.0,9.0
432,10.0,10.0,8.0,16.0
433,9.0,5.0,18.0,15.0
434,16.0,16.0,17.0,11.0
435,9.0,14.0,9.0,13.0
436,7.0,10.0,13.0,13.0
437,7.0,13.0,11.0,9.0
438,15.0,17.0,9.0,10.0
439,10.0,19.0,11.0,19.0
440,10.0,7.0,11.0,10.0
441,9.0,19.0,14.0,17.0
442,11.0,13.0,2.0,17.0
443,18.0,17.0,7.0,14.0
444,10.0,10.0,4.0,12.0
445,11.0,16.0,14.0,14.0
446,13.0,10.0,15.0,19.0
447,15.0,12.0,9.0,18.0
448,14.0,18.0,14.0,4.0
449,15.0,17.0,16.0,8.0
450,15.0,9.0,12.0,18.0
451,12.0,15.0,12.0,16.0
452,9.0,12.0,12.0,18.0
453,10.0,11.0,16.0,20.0
454,7.0,14.0,8.0,13.0
455,13.0,17.0,18.0,16.0
456,11.0,16.0,12.0,14.0
457,12.0,19.0,14.0,5.0
458,11.0,12.0,5.0,14.0
459,6.0,8.0,9.0,13.0
460,14.0,8.0,12.0,12.0
461,16.0,15.0,10.0,11.0
462,9.0,13.0,5.0,7.0
463,15.0,8.0,16.0,14.0
464,14.0,20.0,14.0,11.0
465,10.0,19.0,13.0,15.0
466,9.0,15.0,19.0,10.0
467,12.0,13.0,10.0,11.0
468,17.0,10.0,12.0,16.0
469,17.0,14.0,11.0,11.0
470,12.0,12.0,18.0,16.0
471,13.0,14.0,18.0,14.0
472,18.0,15.0,12.0,16.0
473,9.0,15.0,14.0,16.0
474,16.0,12.0,16.0,17.0
475,19.0,9.0,17.0,13.0
476,16.0,16.0,13.0,13.0
477,10.0,17.0,12.0,6.0
478,16.0,15.0,12.0,11.0
479,14.0,16.0,11.0,6.0
480,14.0,15.0,15.0,16.0
481,13.0,12.0,12.0,18.0
482,15.0,10.0,12.0,12.0
483,11.0,17.0,7.0,18.0
484,13.0,5.0,5.0,8.0
485,15.0,15.0,13.0,16.0
486,13.0,14.0,16.0,13.0
487,17.0,18.0,12.0,15.0
488,16.0,9.0,10.0,8.0
489,14.0,16.0,19.0,5.0
490,15.0,13.0,20.0,12.0
491,11.0,16.0,8.0,17.0
492,8.0,13.0,11.0,13.0
493,3.0,16.0,12.0,12.0
494,15.0,11.0,11.0,17.0
495,13.0,15.0,4.0,17.0
496,13.0,15.0,17.0,14.0
497,8.0,16.0,12.0,16.0
498,13.0,15.0,15.0,16.0
499,11.0,15.0,13.0,15.0
500,8.0,17.0,17.0,20.0
501,11.0,14.0,6.0,19.0
502,15.0,11.0,17.0,12.0
503,13.0,12.0,10.0,18.0
504,15.0,16.0,11.0,17.0
505,6.0,13.0,9.0,14.0
506,8.0,15.0,5.0,12.0
507,8.0,16.0,11.0,3.0
508,13.0,12.0,16.0,14.0
509,7.0,18.0,14.0,19.0
